1,81.673,5.7104,73.043,3.8941,84.2,70.244,0.00048828,0.0019531,4956.8
2,93.148,8.2194,78.889,5.7972,67.6,51.776,1.9073e-06,0.5,153.65
3,76.877,2.3724,73.205,0.79094,11.4,9.4499,0.0019531,0.0019531,397.59
4,92.126,10.416,80.669,7.9868,44.8,37.493,7.6294e-06,2,44.248
5,98.647,1.1911,90.6,5.5846,85,33.734,2.9802e-08,0.03125,424.75
6,78.778,2.4229,78.073,2.3012,13.6,12.157,2,0.0019531,5735.7
7,99.661,0.75898,98.223,1.3148,285.2,174.05,2,0.0019531,7148.6
8,99.81,0.42592,78.889,12.632,39.8,9.8843,1.1921e-07,0.125,41.018
9,97.874,2.9289,76.251,10.461,35.8,5.933,1.1921e-07,0.03125,26.604
10,99.025,1.7021,95.172,2.4918,109,23.664,0.0019531,0.125,504.68
11,90.583,8.4759,76.667,8.8976,65.6,38.507,2.9802e-08,0.03125,195.1
